samples,eens_kwh,cvar_kwh,positive_scenarios
1105,4.176660130658623,83.53320261317239,5
1106,4.172883765260196,83.45767530520385,5
1107,4.1691142225634845,83.38228445126964,5
1108,4.165351484095468,83.30702968190928,5
1109,4.161595531449755,83.23191062899502,5
1110,4.157846346286287,83.15692692572567,5
1111,4.154103910331034,83.08207820662061,5
1112,4.150368205375701,83.00736410751394,5
1113,4.146639213277429,82.9327842655485,5
1114,4.142916915958509,82.8583383191701,5
1115,4.139201295406079,82.7840259081215,5
1116,4.135492333671845,82.70984667343681,5
1117,4.131790012871781,82.63580025743553,5
1118,4.128094315185848,82.56188630371689,5
1119,4.124405222857711,82.48810445715415,5
1120,4.120722718194445,82.41445436388881,5
1121,4.117046783566259,82.34093567132511,5
1122,4.11337740140622,82.26754802812435,5
1123,4.109714554209954,82.19429108419901,5
1124,4.10605822453539,82.12116449070773,5
1125,4.10240839500247,82.04816790004934,5
1126,4.098765048292877,81.97530096585747,5
1127,4.09512816714976,81.90256334299512,5
1128,4.091497734377464,81.8299546875492,5
1129,4.087873732841256,81.75747465682505,5
1130,4.0842561454670605,81.68512290934113,5
1131,4.080644955241182,81.61289910482355,5
1132,4.077040145210051,81.54080290420096,5
1133,4.073441698479945,81.46883396959882,5
1134,4.069849598216735,81.39699196433463,5
1135,4.06626382764562,81.32527655291233,5
1136,4.062684370050861,81.25368740101715,5
1137,4.059111208775532,81.18222417551054,5
1138,4.055544327221247,81.11088654442486,5
1139,4.051983708847919,81.0396741769583,5
1140,4.04842933717349,80.96858674346971,5
1141,4.044881195773689,80.8976239154737,5
1142,4.041339268281767,80.82678536563527,5
1143,4.037803538388258,80.75607076776508,5
1144,4.034273989840715,80.68547979681422,5
1145,4.030750606443474,80.61501212886941,5
1146,4.027233372057397,80.54466744114787,5
1147,4.023722270599634,80.4744454119926,5
1148,4.02021728604336,80.40434572086716,5
1149,4.0167184024175615,80.33436804835115,5
1150,4.013225603806764,80.2645120761352,5
1151,4.0097388743508064,80.19477748701605,5
1152,4.006258198244598,80.12516396489188,5
1153,4.002783559737881,80.05567119475755,5
1154,3.99931494313499,79.98629886269973,5
1155,3.9958523327946134,79.9170466558922,5
1156,3.9923957131295653,79.84791426259123,5
1157,3.988945068606549,79.77890137213092,5
1158,3.985500383745922,79.71000767491837,5
1159,3.9820616431214644,79.6412328624292,5
1160,3.978628831360154,79.57257662720302,5
1161,3.9752019331419275,79.50403866283848,5
1162,3.971780933199465,79.43561866398923,5
1163,3.9683658163179514,79.36731632635896,5
1164,3.964956567334859,79.29913134669711,5
1165,3.9615531711397236,79.2310634227944,5
1166,3.9581556126739095,79.1631122534781,5
1167,3.9547638769303997,79.09527753860792,5
1168,3.951377948953577,79.02755897907147,5
1169,3.947997813838989,78.9599562767797,5
1170,3.944623456733142,78.89246913466278,5
1171,3.9412548628332864,78.82509725666566,5
1172,3.9378920173871834,78.7578403477436,5
1173,3.9345349056929058,78.69069811385805,5
1174,3.931183513098619,78.62367026197231,5
1175,4.534841134695037,90.69682269390066,6
1176,4.530984977267575,90.61969954535142,6
1177,4.527135372359106,90.54270744718204,6
1178,4.523292303282399,90.4658460656479,6
1179,4.519455753406844,90.38911506813679,6
