samples,EENS_kwh,CVaR95_kwh
62,9.405752688172045,188.11505376344087
63,9.256455026455027,185.12910052910053
64,9.111822916666668,182.23645833333336
65,8.971641025641027,179.43282051282054
66,8.835707070707072,176.71414141414144
67,8.703830845771146,174.0766169154229
68,8.575833333333335,171.51666666666668
69,8.451545893719809,169.03091787439615
70,8.330809523809526,166.6161904761905
71,8.213474178403757,164.26948356807512
72,8.099398148148149,161.987962962963
73,7.988447488584476,159.7689497716895
74,7.880495495495497,157.60990990990993
75,7.775422222222224,155.50844444444448
76,7.67311403508772,153.4622807017544
77,7.573463203463205,151.46926406926409
78,7.476367521367522,149.52735042735043
79,7.381729957805908,147.63459915611816
80,7.289458333333334,145.7891666666667
81,7.199465020576133,143.98930041152266
82,7.111666666666668,142.23333333333335
83,7.025983935742973,140.51967871485945
84,6.942341269841271,138.8468253968254
85,6.860666666666668,137.21333333333337
86,6.780891472868218,135.61782945736437
87,6.702950191570882,134.05900383141764
88,6.626780303030304,132.53560606060606
89,6.552322097378278,131.04644194756557
90,6.479518518518519,129.59037037037038
91,6.408315018315019,128.1663003663004
92,6.338659420289856,126.7731884057971
93,6.270501792114696,125.41003584229392
94,6.203794326241136,124.0758865248227
95,6.23947368385965,124.78947367719302
96,6.174479166319446,123.4895833263889
97,6.1108247419244,122.21649483848799
98,6.0484693874149675,120.96938774829934
99,5.987373737037038,119.74747474074076
100,5.927499999666668,118.54999999333336
101,5.868811880858087,117.37623761716172
102,5.811274509477125,116.2254901895425
103,5.754854368608416,115.0970873721683
104,5.699519230448719,113.99038460897438
105,5.645238094920636,112.90476189841272
106,12.651933961949688,253.0386792389937
107,12.533691588473522,250.6738317694704
108,12.417638888580248,248.35277777160493
109,12.303715596024466,246.07431192048932
110,12.191863636060607,243.83727272121214
111,12.082027026726728,241.64054053453452
112,11.974151785416668,239.48303570833335
113,11.86818584041298,237.3637168082596
114,11.764078947076024,235.28157894152048
115,11.6617826084058,233.23565216811596
116,11.561249999712645,231.22499999425287
117,11.462435897150998,229.24871794301995
118,11.365296609887007,227.30593219774013
119,11.269789915686276,225.39579831372552
120,11.175874999722224,223.51749999444448
121,11.083512396418733,221.67024792837466
122,10.992663934153006,219.85327868306013
123,10.903292682655827,218.06585365311653
124,10.81536290295699,216.3072580591398
125,10.728839999733335,214.5767999946667
126,10.643690475925927,212.87380951851853
127,10.559881889501314,211.19763779002625
128,10.477382812239584,209.54765624479168
129,10.396162790439277,207.92325580878554
130,10.316192307435898,206.32384614871796
131,10.237442747837152,204.748854956743
132,10.159886363383839,203.19772726767678
133,10.083496240350879,201.66992480701757
134,10.00824626840796,200.16492536815923
135,9.9341111108642,198.68222221728396
136,9.861066176225492,197.2213235245098
137,9.789087590997568,195.78175181995135
138,9.718152173671498,194.36304347342997
139,9.648237409832136,192.9647481966427
140,9.579321428333335,191.58642856666668
141,9.520106382742318,190.40212765484634
142,9.453063380046949,189.06126760093898
143,9.386958041724943,187.73916083449885
144,9.321770833101851,186.43541666203706
145,9.257482758390804,185.14965516781612
146,9.194075342237442,183.88150684474886
147,9.13153061201814,182.6306122403628
148,9.069831080855856,181.39662161711712
149,9.00895973131991,180.1791946263982
150,9.012855555111111,180.25711110222224
151,8.953167769977926,179.0633553995585
152,8.894265350438598,177.88530700877195
153,8.836132897167758,176.72265794335513
154,8.778755410822512,175.57510821645025
155,8.722118279139787,174.44236558279573
156,8.666207264529916,173.3241452905983
157,8.611008492144375,172.2201698428875
158,8.556508438396627,171.1301687679325
159,8.502693919916144,170.05387839832287
160,8.449552082916668,168.99104165833336
161,8.397070392960664,167.94140785921326
162,8.345236625102881,166.90473250205764
163,8.29403885439673,165.88077708793458
164,8.243465446747969,164.86930893495935
165,8.193505050101011,163.87010100202022
166,8.144146585943776,162.8829317188755
167,8.095379241117765,161.90758482235532
168,8.047192459920636,160.94384919841272
169,7.999575936489153,159.99151872978305
170,7.952519607450982,159.05039214901964
171,7.906013644834309,158.12027289668617
172,7.8600484492248075,157.20096898449614
173,7.814614643159924,156.29229286319847
174,7.769703064750959,155.39406129501916
175,7.725304761523811,154.5060952304762
176,7.681410984469698,153.62821968939394
177,7.638013182297553,152.76026364595106
178,7.595102995880151,151.90205991760303
179,7.552672252886407,151.0534450577281
180,7.510712962592594,150.21425925185187
181,7.469217310865563,149.38434621731125
182,7.428177655311356,148.56355310622715
183,23.621566485063752,472.43132970127505
184,23.49318840634058,469.8637681268115
185,23.36619819873874,467.32396397477476
186,23.240573477240144,464.81146954480283
187,23.116292335650623,462.3258467130125
188,22.993333333865248,459.866666677305
189,22.87167548553792,457.43350971075836
190,22.75129824614035,455.025964922807
191,22.656684119197205,453.1336823839442
192,22.538680556076386,450.7736111215277
193,22.42189982780656,448.4379965561313
194,22.306323024570442,446.1264604914089
195,22.191931624444443,443.83863248888895
196,22.078707483503397,441.57414967006804
197,21.966632826226732,439.3326565245347
198,21.855690236195283,437.11380472390573
199,21.745862647068673,434.91725294137353
200,21.63713333383333,432.7426666766667
201,21.529485904311773,430.5897180862355
202,21.42290429092409,428.45808581848183
203,21.317372742692935,426.34745485385884
204,21.212875817483656,424.2575163496732
205,21.109398374471542,422.18796748943095
206,21.006925566828475,420.1385113365696
207,20.905442834621574,418.1088566924315
208,20.804935897916664,416.09871795833334
209,20.705390750079744,414.1078150015949
210,20.60679365126984,412.13587302539685
211,20.5091311221169,410.1826224423381
